geometry,addr:housenumber,addr:postcode,addr:street,amenity,healthcare,name,phone,ref:CNES,ref:vatin,website,wheelchair,wikidata,wikipedia,name:pt,addr:city,addr:state,addr:suburb,contact:facebook,contact:flickr,contact:instagram,contact:twitter,contact:youtube,email,emergency,fax,military_service,opening_hours,operator,operator:wikidata,short_name,start_date,landuse,military,operator:short,police,contact:phone,contact:website,toilets:wheelchair,official_name,shelter,bench,healthcare:speciality,wikimedia_commons,departures_board,description,gtfs_id,route_ref,barrier,check_date,operator:type,mobile,addr:country,alt_name,name:en,name:etymology:wikidata,url,building,source,loc_name,contact:email,contact:fax,operator:ref:vatin,operator:wikipedia,internet_access,contact:linkedin,old_name,height,toilets,area,internet_access:fee,note,payment:cash,payment:credit_cards,payment:debit_cards,internet_access:ssid,building:levels,brand:wikidata,contact:google_plus,wall,ele,fixme,level,payment:account_cards,payment:american_express,payment:cheque,payment:contactless,payment:cryptocurrencies,payment:diners_club,payment:discover_card,payment:dkv,payment:electronic_purses,payment:girocard,payment:maestro,payment:mastercard,payment:pikepass,payment:uta,payment:visa,payment:visa_debit,payment:visa_electron,tourism,addr:district,disused:amenity,disused:studio,old_website,fence_type,type,addr:housename,roof:colour,roof:shape,contact:spotify,addr:subdistrict
POINT (-46.6613822 -23.5063007),719,02517-001,Rua Relíquia,hospital,hospital,Hospital Casa Verde,,,,,,,,,São Paulo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (-46.6430501 -23.5757158),172,04006-000,Rua Tomás Carvalhal,hospital,hospital,Hcor,,7411863,BR60453024000551,,,,,,São Paulo,,,,,,,,,,,,,,,,,,,,,,,,,,,cardiology,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (-46.6675398 -23.5578133),,,,hospital,hospital,Incor,,,,,,Q6041715,pt:Instituto do Coração do Hospital das Clínicas da FMUSP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Category:Instituto do Coração do Hospital das Clínicas da FMUSP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (-46.7814105 -23.6654743),,,,hospital,hospital,"Rua da Costa Nova do Prado, 447",,,,,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,no,no,,,no,Ref.: Rua Eurico Branco Ribeiro/ Rua Fermela,190013125,647A-10;6815-10;745M-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (-46.6189908 -23.509275),,,Rua Antônio dos Santos Neto,hospital,,Centro Hospitalar do Sistema Penitenciário CHSP/CASH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (-46.5991979 -23.5324133),,,,hospital,hospital,AME Maria Zélia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (-46.6351493 -23.5654424),,,,hospital,hospital,Hospital A C Camargo Câncer Center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (-46.5944778 -23.565437),,,,hospital,hospital,Hospital San Genaro,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,general,,,,,,,2023-06-01,private,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (-46.6866139 -23.5984034),,,,hospital,hospital,Blanc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (-46.671408 -23.5686311),,,,hospital,hospital,Beneficência Portuguesa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (-46.7523764 -23.5082792),616,05114-000,Avenida Cândido Portinari,hospital,hospital,Hospital Saint Patrick Jaguara,5069-0002,,,https://saintpatrick.com.br/unidade-hospitalar/jaguara/,,,,,São Paulo,,Vila Jaguara,,,,,,,,,,,Associação Hospitalar Saint Patrick,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (-46.4613548 -23.5542809),177,08270-070,"R. Santa Marcelina,",hospital,hospital,HOSPITAL SANTA MARCELINA- ITAQUERA,,,,https://santamarcelina.org/,yes,,,,São Paulo - SP,,Vila Carmosina,,,,,,,yes,,,Atendimento 24 horas,,,,,,,,,,,,,,,general;gynaecology;paediatrics;dermatology;psychiatry;otolaryngology;radiology;urology;ophthalmology;cardiology;plastic_surgery;surgery;anaesthetics;angiology;haematology;hepatology;nephrology;gastroenterology;neurosurgery;neonatology;endocrinology,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (-46.6264213 -23.5228681),281,,Rua Porto Seguro,hospital,hospital,CAPS AD III ARMÊNIA,,,,,,,,,São Paulo,,armênia,,,,,,,,,,,Sistema Único de Saúde,Q7531056,,,,,SUS,,,,,,,,saúde_mental_alcool_e_drogas,,,,,,,,public,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (-46.6821988 -23.5793692),163,01454-000,Avenida Cidade Jardim,hospital,hospital,Ícone da Visão São Paulo,,,,,,,,,São Paulo,,Jardim Paulista,https://www.iconedavisao.com.br/,,,,,,no,,,,Hospital de Olhos Ícone da Visão.,,,,,,,,,,,,,,ophthalmology,,,,,,,,private,(11) 918755117,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (-46.6780331 -23.5649269),,,,hospital,hospital,Amato,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (-46.668149 -23.5733788),,,,hospital,hospital,Sírio Libanês,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (-46.6696072 -23.5719756),,,,hospital,hospital,Albert Einstein,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (-46.4933193 -23.611467),1151,,Rua João Lopes de Lima,hospital,hospital,Ama Sapopemba.,,,,,,,,,São Paulo,,Jd. Sapopemba,,,,,,,,,,24/7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (-46.4928022 -23.6114669),1151,,Rua João Lopes de Lima,hospital,hospital,UBS Jardim Sapopemba.,,,,,,,,,São Paulo,,Jd. Sapopemba,,,,,,,,,,Mo-Fr 08:00-18:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (-46.532729 -23.6044407),400,03249-030,R. São José das Espinharas,hospital,hospital,UBS Vila Reunidas I,,,,,yes,,,,São Paulo,,Vila Ivg,,,,,,,,,,Mo-Fr 07:00-19:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (-46.5326722 -23.6042357),400,03249-030,R. São José das Espinharas,hospital,hospital,Casa do Parto - Sapopemba,,,,,,,,,São Pauo,,Vila Ivg,,,,,,,,,,,,,,,,,,,,,,,,,parto,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"POLYGON ((-46.6331995 -23.4858187, -46.6332193 -23.4855918, -46.6332399 -23.4853549, -46.6332206 -23.4850945, -46.633212 -23.4850373, -46.6331869 -23.4849194, -46.633165 -23.4848163, -46.6330217 -23.484406, -46.6329851 -23.4843084, -46.6328437 -23.4839313, -46.6327636 -23.4836863, -46.6327113 -23.4834703, -46.6326235 -23.483404, -46.6324849 -23.4833411, -46.6320661 -23.4831623, -46.6318528 -23.4830889, -46.6318405 -23.4831015, -46.6318172 -23.4831221, -46.6316355 -23.4833421, -46.6314439 -23.483533, -46.6313727 -23.4835967, -46.6312752 -23.4836928, -46.6312089 -23.4837568, -46.6311797 -23.4837861, -46.6310726 -23.4838847, -46.6308354 -23.4841008, -46.6304872 -23.4843641, -46.6303846 -23.4844327, -46.6302548 -23.4845241, -46.630158 -23.4845995, -46.6300879 -23.4846541, -46.6299973 -23.4847247, -46.6295485 -23.4850741, -46.6294796 -23.4851278, -46.6294954 -23.4851467, -46.6300766 -23.4857603, -46.6302015 -23.485895, -46.6303497 -23.4860906, -46.6307756 -23.4859596, -46.6311898 -23.4859073, -46.6315825 -23.4858663, -46.6319191 -23.4859239, -46.6319041 -23.4860604, -46.6318838 -23.4864464, -46.6318874 -23.4867695, -46.632099 -23.4867375, -46.6321912 -23.4867163, -46.6324906 -23.4867103, -46.6326428 -23.4867242, -46.6327003 -23.4859746, -46.6327153 -23.4857832, -46.6330543 -23.4858097, -46.6331995 -23.4858187))",4301,02401-400,Rua Voluntários da Pátria,hospital,hospital,Conjunto Hospitalar do Mandaqui,,2077574,BR46374500008845,http://www.hospitalmandaqui.com.br,yes,Q10298562,pt:Hospital do Mandaqui,,São Paulo,,Santana,,,,,,,yes,,,,,,,1938-02-01,,,,,+55 11 2281-5000,,,,,,,,,,,,,,,,,Hospital do Mandaqui,,,,,,,,,BR46374500000194,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,multipolygon,,,,,
"POLYGON ((-46.5616752 -23.5225471, -46.5616863 -23.5225711, -46.5616994 -23.5225834, -46.5617192 -23.5225959, -46.5617388 -23.5225956, -46.5620793 -23.5225749, -46.5621743 -23.5225692, -46.5625644 -23.5225593, -46.5630032 -23.5225773, -46.5634244 -23.5225995, -46.5636875 -23.5226339, -46.5640964 -23.5227077, -46.564611 -23.522824, -46.5651123 -23.5229687, -46.5650665 -23.5229193, -46.5649721 -23.5228416, -46.5629493 -23.5217609, -46.5619367 -23.5212199, -46.5618913 -23.5212145, -46.5618592 -23.5212342, -46.5617446 -23.522085, -46.5617247 -23.5222325, -46.5617161 -23.5222962, -46.5616752 -23.5225471))",127,02181-160,Rua Francisco Fanganielo,hospital,hospital,Hospital Municipal Vereador José Storopolli,+55 11 2207-9008,,,,,,,,São Paulo,,,,,,,,superintendencia@hmvjs.spdm.org.br,,+55 11 2967-0737,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,multipolygon,Hospital Vermelinho,,,,
"POLYGON ((-46.6266359 -23.5117226, -46.6266354 -23.5117585, -46.6267884 -23.5117582, -46.6267901 -23.5117987, -46.6265477 -23.5117977, -46.6265467 -23.5117532, -46.6265253 -23.5117529, -46.6265252 -23.511732, -46.6264833 -23.5117315, -46.6264842 -23.5117517, -46.6264279 -23.5117507, -46.6264281 -23.5117354, -46.6263076 -23.5117346, -46.6263036 -23.5119404, -46.6263579 -23.511942, -46.6263525 -23.5121335, -46.6263359 -23.5121338, -46.6263355 -23.5121608, -46.6263521 -23.5121607, -46.6263523 -23.5121669, -46.6264958 -23.5121696, -46.6264997 -23.5119827, -46.6265522 -23.5119841, -46.6265543 -23.5119535, -46.6266403 -23.5119556, -46.6266402 -23.5119725, -46.6266646 -23.5119726, -46.6266656 -23.5119558, -46.6266818 -23.5119558, -46.6266806 -23.5119985, -46.6266087 -23.5119985, -46.6266043 -23.5121508, -46.6266728 -23.5121536, -46.6266719 -23.5122237, -46.6263238 -23.5122153, -46.6263216 -23.5122959, -46.6263331 -23.5122972, -46.6263364 -23.5122976, -46.6263369 -23.5122976, -46.62639 -23.5122989, -46.626398 -23.5122991, -46.6264438 -23.5123002, -46.6266005 -23.5123041, -46.6266168 -23.5123045, -46.6267141 -23.5123069, -46.6267941 -23.5123089, -46.626817 -23.5123094, -46.6268278 -23.5123097, -46.6268354 -23.5120503, -46.6268258 -23.5120173, -46.6268267 -23.5119436, -46.6268342 -23.5119434, -46.6268359 -23.5119055, -46.6268441 -23.5117218, -46.6266359 -23.5117226), (-46.6267653 -23.5119575, -46.6267599 -23.5120272, -46.6267087 -23.5120259, -46.6267096 -23.5119555, -46.6267653 -23.5119575))",943,02011-100,Rua Voluntários da Pátria,hospital,hospital,Pronto Socorro Municipal Lauro Ribas Braga,+55 11 2223-2919;+55 11 2223-2923;+55 11 2223-2929,2071495,,,,,,,São Paulo,,Santana,,,,,,,yes,,,24/7,,,PSM Lauro Ribas Braga,,,,,,,,,,,,,,,,,,,,,,,Pronto Socorro de Santana,,,,yes,pmsp,,,,BR46392130000380,,,,,3.775,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,multipolygon,,grey,flat,,
"POLYGON ((-46.6980195 -23.5648641, -46.6980116 -23.5647313, -46.6979958 -23.5644635, -46.6979915 -23.5643911, -46.6978355 -23.5643816, -46.6972676 -23.5643468, -46.6972676 -23.5641953, -46.6966022 -23.5641486, -46.6965973 -23.5644691, -46.6966454 -23.5644716, -46.6969237 -23.5644884, -46.6969629 -23.5644908, -46.6970746 -23.5644975, -46.6970642 -23.5646774, -46.6970615 -23.5647245, -46.6970603 -23.564745, -46.6970591 -23.5647663, -46.6971374 -23.5647711, -46.6972569 -23.564777, -46.6972628 -23.5647773, -46.6972628 -23.5647892, -46.6973085 -23.5647936, -46.6980195 -23.5648641))",789,05428-002,Rua Ferreira de Araújo,hospital,hospital,Centro de Saúde Doutor Victor Araujo H Mello Pinheiros,,2068966,,,,,,,São Paulo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,wall,,,,,,,,,,,,,,BR46374500000194,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,multipolygon,,,,,
"POLYGON ((-46.5622455 -23.5631328, -46.5620612 -23.5628117, -46.5620357 -23.5627876, -46.5619975 -23.5627858, -46.561264 -23.5631394, -46.5612378 -23.5631748, -46.5612339 -23.5631994, -46.5614163 -23.5635289, -46.5614622 -23.5636087, -46.5614866 -23.5636309, -46.5615262 -23.5636321, -46.5619336 -23.5634356, -46.562224 -23.5632956, -46.5622758 -23.5632706, -46.5622918 -23.5632488, -46.5622905 -23.5632112, -46.5622455 -23.5631328))",1900,03372-015,Avenida Vereador Abel Ferreira,hospital,hospital,Hospital Vitória,+55 11 3581-1000,,,http://www.hospitalvitoria.com.br,,,,,São Paulo,,Chácara Mafalda,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Hospital Vitória Anália Franco,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,multipolygon,,,,,
"POLYGON ((-46.590758 -23.5381693, -46.5907737 -23.5379926, -46.5907963 -23.537764, -46.5907492 -23.5377602, -46.5907409 -23.5377595, -46.5907277 -23.5377585, -46.5906652 -23.5377534, -46.5906284 -23.5377504, -46.5905874 -23.5377468, -46.590536 -23.5377424, -46.5904723 -23.5377368, -46.5904761 -23.5376973, -46.5904895 -23.5375574, -46.5904932 -23.5375187, -46.5904973 -23.5374761, -46.5905344 -23.5370901, -46.5905399 -23.5370328, -46.5905484 -23.5369448, -46.590374 -23.5369251, -46.5898363 -23.5368398, -46.5895625 -23.5367964, -46.5894756 -23.5368315, -46.5894112 -23.5368575, -46.5894111 -23.5369094, -46.5894108 -23.5369341, -46.5894103 -23.5369705, -46.5894064 -23.5372651, -46.5894018 -23.5376542, -46.5894009 -23.5376866, -46.5893972 -23.5380418, -46.590391 -23.5381356, -46.5905905 -23.5381534, -46.590758 -23.5381693))",2294,03014-000,Avenida Celso Garcia,hospital,hospital,Hospital Santa Virgínia,,,,,,,,,São Paulo,,Belem,,,,,,,yes,,,,Congregação das Filhas de Nossa Senhora do Monte Calvário,,,1916,,,,,+55 11 2799-3100;+55 11 2799-3230,http://www.hsv.org.br,,,,,emergency;paediatrics;ophthalmology;oncology,,,,,,wall,,religious,,,,,,,,,,,,,,,,,3.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,multipolygon,,,,,
"POLYGON ((-46.6757914 -23.5333589, -46.6757724 -23.5333335, -46.6756732 -23.5332015, -46.6754877 -23.5329547, -46.675475 -23.5329377, -46.6754644 -23.5329236, -46.6754514 -23.5329226, -46.6754383 -23.5329309, -46.6754261 -23.5329486, -46.6751971 -23.5333451, -46.6752057 -23.5333571, -46.675257 -23.533428, -46.675289 -23.5334722, -46.6753212 -23.5335167, -46.6753544 -23.5335625, -46.6753647 -23.5335768, -46.6753906 -23.5336158, -46.6754211 -23.5335946, -46.6754868 -23.5335531, -46.6757153 -23.5334089, -46.6757914 -23.5333589))",85,05017-020,Rua Apiacás,hospital,hospital,Hospital Israelita Albert Einstein,+55 11 2151-1233,6569757,BR60765823001292,https://www.einstein.br,,Q1630439,pt:Hospital Israelita Albert Einstein,,,,Perdizes,http://www.facebook.com/HospitalAlbertEinstein,,http://instagram.com/hosp_einstein,http://www.twitter.com/hosp_einstein,http://www.youtube.com/user/HospitalEinstein,sac@einstein.br,,,,,,,,,,,,,,,,,,,,,,Unidade Avançada Perdizes Higienópolis,,,,,,,,,,,,,,,,,,,,http://www.linkedin.com/company/hospital-albert-einstein,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,multipolygon,,,,https://open.spotify.com/user/hospital_albert_einstein,
"POLYGON ((-46.5327739 -23.5604868, -46.5325406 -23.5600936, -46.5322884 -23.5602274, -46.5321191 -23.5603173, -46.53236 -23.5607034, -46.5327739 -23.5604868))",300,03433-025,Rua Vacanga,hospital,hospital,Casa da Criança Betinho Lar Espírita para Excepcionais,+55 11 2782-7366,,BR62827860000150,https://www.casadacriancabetinho.com.br/,,,,,São Paulo,,Vila Fernandes,,,,,,casabetinho@uol.com.br,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,casabetinhocontacto@gmail.com,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,multipolygon,,,,,Vila Carrão
"POLYGON ((-46.6442172 -23.5337412, -46.6439795 -23.5335901, -46.6440275 -23.5335259, -46.6440428 -23.5335054, -46.6440837 -23.5334506, -46.6438315 -23.5332894, -46.6437383 -23.5332298, -46.6436955 -23.5332025, -46.643662 -23.5331811, -46.6436288 -23.533187, -46.6435909 -23.5332379, -46.6431619 -23.5338142, -46.6430694 -23.5339385, -46.6430131 -23.5340141, -46.6429536 -23.5340941, -46.643128 -23.534206, -46.6431674 -23.5341533, -46.6431915 -23.5341211, -46.6432257 -23.5340755, -46.6432472 -23.5340468, -46.6433142 -23.5339571, -46.6433377 -23.533926, -46.6434203 -23.5339785, -46.6434475 -23.5339958, -46.6434578 -23.5340023, -46.6435022 -23.5340306, -46.6434601 -23.5340869, -46.6434141 -23.5341484, -46.6433054 -23.5342937, -46.6432923 -23.5343113, -46.6436351 -23.5345298, -46.6442172 -23.5337412))",,,,hospital,hospital,Hospital da Mulher,,,,,,,,,,,,,,,,,,,,,,,,,2022-06-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Hospital Pérola Byington,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,multipolygon,,,,,
"POLYGON ((-46.7666324 -23.631347, -46.7664658 -23.6311095, -46.7661415 -23.6311511, -46.7661417 -23.6311871, -46.7661126 -23.6312501, -46.7658918 -23.6315433, -46.7655849 -23.6319129, -46.7656259 -23.6319565, -46.7657542 -23.6318972, -46.7659341 -23.6317845, -46.7666324 -23.631347))",423,05760-140,Avenida Amadeu da Silva Samelo,hospital,hospital,Hospital Dia : Campo Limpo,,,,,,,,,São Paulo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,multipolygon,,,,,
