geometry,amenity,brand,brand:wikidata,dispensing,drive_through,healthcare,name,wheelchair,addr:city,addr:housenumber,addr:postcode,addr:street,addr:country,addr:state,contact:phone,contact:website,opening_hours,check_date,phone,website,brand:wikipedia,contact:email,mobile,alt_name,operator,cuisine,addr:suburb,smoking,name:pt,payment:cash,payment:credit_cards,payment:debit_cards,old_name,entrance,contact:fax,parking,level,name:en,height,shop,building,description,email,check_date:opening_hours,internet_access,payment:mastercard,payment:visa,toilets:wheelchair,fax,healthcare:speciality,payment:american_express,payment:coins,payment:maestro,payment:visa_debit,payment:visa_electron,payment:elo,emergency,internet_access:fee,organic,check_date:currency:XBT,currency:XBT,payment:apple_pay,payment:cards,payment:contactless,payment:diners_club,payment:discover_card,payment:google_pay,payment:jcb,payment:lightning,payment:lightning_contactless,payment:mastercard_contactless,payment:nfc,payment:onchain,payment:samsung_pay,payment:unionpay,source,delivery,landuse,branch,building:levels,roof:levels,roof:colour,roof:material,mapillary,roof:shape,ref:vatin,atm,layer,note,payment:notes,building:colour,air_conditioning,indoor,room,area,start_date,survey:date,contact:facebook,payment:electronic_purses,wikidata,wikipedia,leisure,contact:instagram,opening_hours:drive_through,opening_date,addr:subdistrict,addr:district,type
POINT (-46.6554145 -23.5704075),pharmacy,,,,,pharmacy,Drogaria Tio Luiz,,,261,,Rua José Maria Lisboa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (-46.6539957 -23.5718417),pharmacy,,,,,pharmacy,Farmácio Orthomolecular,limited,,77,01423-000,Rua José Maria Lisboa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (-46.6969098 -23.5522828),pharmacy,,,,,,Drogaria São Paulo,,,,,,,,,,Mo-Su 07:00-23:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (-46.4881465 -23.5031624),pharmacy,,,yes,no,pharmacy,Droga Couto 2,,,467,,Avenida Boturussu,,,,,,,+55 11 3596 3848,,,,+55 11 97087 8193,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (-46.4894581 -23.5073208),pharmacy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (-46.489208 -23.5075733),pharmacy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (-46.4901752 -23.5073347),pharmacy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (-46.4808985 -23.49311),pharmacy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (-46.4792567 -23.4902759),pharmacy,,,yes,,pharmacy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (-46.6694274 -23.6057531),pharmacy,Droga Raia,Q10357101,,,pharmacy,Droga Raia,,São Paulo,1177,04522-033,Rua Gaivota,BR,SP,+55 11 5044-4654,http://www.drogaraia.com.br/,Mo-Su 08:00-24:00,,,,pt:RaiaDrogasil,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (-46.630429 -23.5903205),pharmacy,Drogasil,Q5308185,,,pharmacy,Drogasil,yes,São Paulo,32;38;42,04116-000,Avenida Prefeito Fábio Prado,BR,SP,+55 11 5081-4417;+55 11 5081-3579,http://www.drogasil.com.br/,Mo-Fr 07:00-23:00;Sa 07:00-23:00;Su 07:00-23:00,,,,pt:Drogasil,atendimento@drogasil.com.br,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (-46.6149995 -23.6023833),pharmacy,Drogaria São Paulo,Q5308184,yes,no,pharmacy,Drogaria São Paulo,,São Paulo,6450;6454,04272-100,Rua Vergueiro,BR,SP,+55 11 5061-4131;+55 11 5061-9632;0800 779 8767,http://www.drogariasaopaulo.com.br,Mo-Su 07:00-23:00,,,,en:Grupo DPSP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (-46.779632 -23.6616861),pharmacy,,,yes,no,pharmacy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (-46.6171682 -23.615233),pharmacy,Drogaria São Paulo,Q5308184,,,pharmacy,Drogaria São Paulo,,São Paulo,2226,04132-001,Avenida do Cursino,BR,SP,+55 11 5058-8198;+55 11 5058-6544;0800 779 8767,http://www.drogariasaopaulo.com.br,Mo-Su 07:00-24:00,,,,en:Grupo DPSP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (-46.5680088 -23.5590459),pharmacy,Drogaria São Paulo,Q5308184,no,,pharmacy,Drogaria São Paulo,,São Paulo,1111,03342-000,Avenida Regente Feijo,,,,,24/7,,+55 11 2671-4124,https://www.drogariasaopaulo.com.br/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (-46.7369291 -23.5866859),pharmacy,Drogaria São Paulo,Q5308184,,,pharmacy,Drogaria São Paulo,yes,São Paulo,340;344;348,05537-000,Avenida Ministro Laudo Ferreira de Camargo,BR,SP,+55 11 3507-6286,http://www.drogaraia.com.br,Mo-Fr 07:30-23:00; Sa 07:30-23:30; Su 07:30-23:30,,,,en:Grupo DPSP,,,Droga Raia Peri Peri,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (-46.6805696 -23.6135792),pharmacy,Pague Menos,Q7124466,,,pharmacy,Pague Menos,,,,,,,,,,,,,,pt:Pague Menos,,,,Pague Menos,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (-46.6791427 -23.612429),pharmacy,,,,,,,,São Paulo,105,04560-010,Rua Nebraska,BR,SP,+55 11 5535-2061,http://www.drogaraia.com.br,24/7,,,,,,,,Droga Raia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (-46.6787135 -23.611504),pharmacy,,,,,,,,São Paulo,107,04560-020,Rua Lusiânia,BR,SP,+55 11 5532-0605;+55 11 5092-2743;0800 779 8767,http://www.drogariasaopaulo.com.br,Mo-Su 07:00-23:00,,,,,,,,Drogaria São Paulo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (-46.5898328 -23.5715039),pharmacy,,,yes,no,pharmacy,Droga Verde,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (-46.7364112 -23.6265855),pharmacy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (-46.6692936 -23.5363891),pharmacy,,,,,pharmacy,Panvel,,,,,,,,,,,,,,,,,,,arab,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (-46.6053629 -23.6176551),pharmacy,Droga Raia,Q10357101,yes,no,pharmacy,Droga Raia,,São Paulo,8923,04273-200,Rua Vergueiro,BR,SP,+55 11 2083-2280,http://www.drogaraia.com.br/,Mo-Su 08:00-24:00,,,,pt:RaiaDrogasil,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (-46.6429526 -23.5878276),pharmacy,,,,,pharmacy,Drogaria São Paulo,,,,,,,,,,"Mo-Su,PH 00:00-00:00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (-46.5105882 -23.5718111),pharmacy,,,,,,Farmais,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (-46.6862765 -23.7384746),pharmacy,,,,,pharmacy,Droga Mix,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (-46.6992052 -23.7108929),pharmacy,Drogaria São Paulo,Q5308184,,,pharmacy,Drogaria São Paulo,,São Paulo,1072,04801-000,Avenida Senador Teotônio Vilela,BR,SP,+55 11 5666-1123;+55 11 5666-7631;0800 779 8767,http://www.drogariasaopaulo.com.br,24/7,,,,en:Grupo DPSP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (-46.4898072 -23.4828841),pharmacy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (-46.6382359 -23.6092716),pharmacy,Drogasil,Q5308185,,,pharmacy,Drogasil,yes,São Paulo,586;592,04046-000,Avenida Jabaquara,BR,SP,+55 11 5584-6575;+55 11 5078-6323,http://www.drogasil.com.br/,24/7,,,,pt:Drogasil,atendimento@drogasil.com.br,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (-46.7189448 -23.4368487),pharmacy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (-46.7351232 -23.4495946),pharmacy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (-46.6392034 -23.6176164),pharmacy,Farma Conde,Q100492677,,,pharmacy,Farma Conde,,São Paulo,1526,,Avenida Jabaquara,,,,,,,,,,,,,,,Saúde,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (-46.6391943 -23.6175618),pharmacy,,,,,pharmacy,Ultrafarma,,São Paulo,1524,,Avenida Jabaquara,,,,,,,,,,,,,,,Saúde,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (-46.6063856 -23.5240971),pharmacy,,,yes,no,pharmacy,Farmais | Marginal Tiete,,São Paulo,1476,03022-000,Rua Paulo Andrighetti,,,,,24/7,,,,,,,,,,Pari,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (-46.6072545 -23.5268525),pharmacy,,,,,,Farmacia Silva Teles,,São Paulo,1404,03026-001,Rua Silva Teles,,,,,Mo-Sa 09:00-07:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (-46.6388973 -23.6179043),pharmacy,Farma Conde,Q100492677,,,pharmacy,Farma Conde,,São Paulo,1545,04045-002,Avenida Jabaquara,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (-46.5133578 -23.600181),pharmacy,,,,,pharmacy,Drogaria Massao,,,12,,Rua Alexandre Galera,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (-46.6056169 -23.4867366),pharmacy,,,yes,no,pharmacy,Drogaria Vera Cruz,,São Paulo,3466,02242-001,Avenida General Ataliba Leonel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (-46.7020815 -23.5284207),pharmacy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (-46.7039368 -23.5277954),pharmacy,,,,,pharmacy,Farma Civica,,São Paulo,102,05050-060,Praça Cívica,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (-46.6430726 -23.5810268),pharmacy,,,,,pharmacy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (-46.6408867 -23.5787605),pharmacy,Drogasil,Q5308185,,,pharmacy,Drogasil,yes,São Paulo,173,04009-000,Rua Domingos de Morais,BR,SP,+55 11 5571-2925;+55 11 5579-6554;0800 779 8767,http://www.drogasil.com.br/,24/7,2025-07-08,,,pt:Drogasil,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (-46.4064776 -23.538142),pharmacy,,,,,pharmacy,Droga Leste,,São Paulo,38,08451-000,Estrada do Lageado Velho,,,,,24/7,,,,,,,,Rede Droga Leste,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (-46.6604206 -23.5566214),pharmacy,Droga Raia,Q10357101,,,pharmacy,Droga Raia,,São Paulo,378,01414-000,Rua Haddock Lobo,BR,SP,+55 11 3256-2609,http://www.drogaraia.com.br,Mo-Su 07:00-23:00,,,,pt:RaiaDrogasil,,,,,,Consolação,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (-46.681092 -23.5844983),pharmacy,,,yes,no,pharmacy,Discover,yes,São Paulo,1100,04533-004,Rua Tabapuã,,,,,,,,,,,,,,,Itaim Bibi,outside,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (-46.7220279 -23.6258381),pharmacy,Drogaria São Paulo,Q5308184,,,pharmacy,Drogaria São Paulo,,São Paulo,107,05705-170,Rua Doutor Chibata Miyakoshi,,,+55 11 3758-2251;+55 11 3758-2321;0800 779 8767,http://www.drogariasaopaulo.com.br,Mo-Su 07:00-23:00,,,,en:Grupo DPSP,,,Drogaria São Paulo Panamby II,,,Paraíso do Morumbi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (-46.6824833 -23.5409501),pharmacy,Droga Raia,Q10357101,,,pharmacy,Droga Raia,,São Paulo,531,01254-000,Avenida Professor Afonso Bovero,BR,SP,+55 11 3672-2346,http://www.drogaraia.com.br,Mo-Su 07:00-23:00,2025-04-12,,,pt:RaiaDrogasil,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (-46.5731035 -23.5627181),pharmacy,,,,,,,,São Paulo,735,03345-001,Avenida Sapopemba,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (-46.5760282 -23.5599513),pharmacy,,,,,pharmacy,Drogaria Moretti,,São Paulo,303,03345-001,Rua Gregório Matos,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (-46.6189783 -23.5273176),pharmacy,,,,,,Drogaria Saúde & Vida,,São Paulo,27,03030-000,Rua Padre Vieira,,,,,Mo-Fr 08:00-19:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (-46.6029411 -23.5551362),pharmacy,,,,,pharmacy,Sinete 24Horas,,São Paulo,2283,03103-003,Rua da Mooca,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (-46.4888623 -23.5591986),pharmacy,,,,,pharmacy,Ultra Leste Drogarias,,São Paulo,36,03584-000,Avenida Gameleira Branca,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (-46.6378444 -23.6330112),pharmacy,Drogasil,Q5308185,yes,no,pharmacy,Drogasil,yes,São Paulo,556,04311-001,Avenida do Café,,,,,,2025-02-13,,,,,,,,,,,Drogasil,yes,yes,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (-46.6481438 -23.5660184),pharmacy,Drogasil,Q5308185,,,pharmacy,Drogasil,,São Paulo,2066,01318-002,Avenida Brigadeiro Luís Antônio,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (-46.6342229 -23.5517587),pharmacy,,,,,,Drogaria SP,,São Paulo,415,01001-000,Praça da Sé,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (-46.6342829 -23.5502535),pharmacy,Droga Raia,Q10357101,,,pharmacy,Droga Raia,,São Paulo,152,01001-001,Praça da Sé,,,,,,,,,pt:RaiaDrogasil,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (-46.6418974 -23.5508478),pharmacy,,,,,pharmacy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (-46.5924936 -23.494809),pharmacy,,,,,pharmacy,União Farma,,São Paulo,503,02203-000,Avenida Ede,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (-46.625744 -23.5797724),pharmacy,,,,,pharmacy,,,São Paulo,1941,01536-001,Avenida Lacerda Franco,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (-46.6156083 -23.5808039),pharmacy,,,yes,no,pharmacy,Droga Porto,,São Paulo,662,01545-001,Rua Vasconcelos Drumond,,,,,,,+55 11 3432 8484,,,,,,,,,,,,,,Rede Bem Drogarias,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (-46.6440354 -23.5717324),pharmacy,,,,,pharmacy,Farma Ponte,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
