geometry,amenity,name,operator,operator:wikidata,landuse,military,operator:short,addr:city,addr:housenumber,addr:postcode,addr:street,opening_hours,website,addr:suburb,check_date,wheelchair,note,phone,police,seasonal,information,tourism,name:pt,addr:country,addr:state,short_name,entrance,email,fax,level,nohousenumber,source,start_date,operator:en,operator:pt,operator:wikipedia,description,alt_name,building,layer,building:levels,height,contact:phone,contact:website,barrier,roof:colour,roof:shape,office,inscription,min_height,addr:place,smoking,name:en,disused:government,disused:office,old_name,ele,fixme,payment:account_cards,payment:american_express,payment:amex,payment:cards,payment:cheque,payment:coins,payment:credit_cards,payment:debit_cards,payment:diners_club,payment:discover_card,payment:dkv,payment:electronic_purses,payment:girocard,payment:maestro,payment:mastercard,payment:notes,payment:pikepass,payment:uta,payment:visa,payment:visa_debit,payment:visa_electron,wikidata,wikipedia,operator:wikimedia_commons,payment:cash,payment:contactless,payment:cryptocurrencies,access,leisure,wikimedia_commons,area,operator:type,addr:district,lit,surface,type,official_name,loc_name
"POLYGON ((-46.6358682 -23.5383626, -46.6358476 -23.5382641, -46.6358219 -23.5381412, -46.6356815 -23.5381665, -46.6356442 -23.5381732, -46.6355153 -23.5381964, -46.6355594 -23.5383724, -46.6355907 -23.538497, -46.6356421 -23.5384811, -46.6356358 -23.5384438, -46.6356596 -23.5384404, -46.6356653 -23.5384739, -46.6358777 -23.538408, -46.6358682 -23.5383626), (-46.6356991 -23.5383699, -46.6357208 -23.538366, -46.6357249 -23.5383858, -46.6356634 -23.5383967, -46.6356593 -23.5383773, -46.6356815 -23.5383734, -46.6356754 -23.538344, -46.6356931 -23.5383408, -46.6356991 -23.5383699))",police,IIRGD - Instituto de Identificação Ricardo Gumbleton Daunt,Polícia Civil do Estado de São Paulo,Q10350993,,,,São Paulo,370,,Avenida Cásper Líbero,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,15.59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,multipolygon,,
"POLYGON ((-46.6912986 -23.5619378, -46.6913784 -23.5618216, -46.6910515 -23.5616311, -46.6909718 -23.5617473, -46.6910048 -23.5617666, -46.691134 -23.5618419, -46.6912986 -23.5619378), (-46.6911309 -23.5617427, -46.6911136 -23.5617674, -46.6910166 -23.5617098, -46.6910339 -23.561685, -46.6911309 -23.5617427))",police,14º DP,Polícia Civil do Estado de São Paulo,Q10350993,,,,São Paulo,372,05418-000,Rua Deputado Lacerda Franco,,,,,,,,,,,,,,,,,,,,,pmsp,,,,,,,yes,,,9.375,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,multipolygon,,
"POLYGON ((-46.6693817 -23.5079416, -46.6693978 -23.5080173, -46.6693195 -23.5080312, -46.6694316 -23.5085607, -46.6695098 -23.5085468, -46.6695237 -23.5086127, -46.6702458 -23.5084843, -46.6701038 -23.5078131, -46.6693817 -23.5079416), (-46.6695258 -23.5084423, -46.6695064 -23.5083503, -46.6697203 -23.5083122, -46.6697398 -23.5084043, -46.6695258 -23.5084423), (-46.6700095 -23.5083563, -46.6697787 -23.5083973, -46.6697592 -23.5083053, -46.66999 -23.5082642, -46.6700095 -23.5083563), (-46.6694543 -23.5081042, -46.6696682 -23.5080661, -46.6696859 -23.5081496, -46.6694719 -23.5081876, -46.6694543 -23.5081042), (-46.669938 -23.5080181, -46.6699556 -23.5081016, -46.6697248 -23.5081426, -46.6697071 -23.5080592, -46.669938 -23.5080181))",courthouse,Fórum Criminal e Cível de Santana,,,,,,São Paulo,594,02520-310,Avenida Engenheiro Caetano Alvares,,,Casa Verde,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,multipolygon,,
"POLYGON ((-46.6121491 -23.5296318, -46.6124039 -23.5299057, -46.612465 -23.5298574, -46.6125188 -23.5298149, -46.6122639 -23.5295409, -46.6121491 -23.5296318), (-46.6122432 -23.5296203, -46.6122529 -23.5296126, -46.6122927 -23.5296553, -46.6122688 -23.5296743, -46.6122218 -23.5296238, -46.6122361 -23.5296126, -46.6122432 -23.5296203))",police,12º Distrito Policial,Polícia Civil do Estado de São Paulo,Q10350993,,,,São Paulo,950,03023-000,Rua Rio Bonito,,,,,,,,,,,,,,,,,,,,,pmsp,,,,,,12ª Delegacia de Policia,yes,,,6.97,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,multipolygon,,
"POLYGON ((-46.6956535 -23.7125173, -46.6958017 -23.7125218, -46.6958144 -23.7121639, -46.6956663 -23.7121594, -46.6956535 -23.7125173), (-46.6957168 -23.7123959, -46.6957477 -23.7123967, -46.6957446 -23.7125024, -46.6957137 -23.7125017, -46.6957168 -23.7123959))",police,48º DP - Cidade Dutra - Polícia Civil - Distrito Policial,Polícia Civil do Estado de São Paulo,Q10350993,,,,São Paulo,87,04810-050,Rua Aníbal dos Anjos Carvalho,,https://www.policiacivil.sp.gov.br/,Vila Santa Maria,,yes,,+55 11 5666-0723,,,,,,,,,,dgpad@policiacivil.sp.gov.br,+55 11 5666-0723,5,,pmsp;survey;local knowledge;gps;aerial imagery;streetlevel imagery,1971,,,,,,yes,,,8.63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,multipolygon,,
"POLYGON ((-46.7090727 -23.7417699, -46.7090659 -23.7417872, -46.7092201 -23.7418382, -46.7092252 -23.741825, -46.7092348 -23.7418006, -46.7092462 -23.7417717, -46.7092767 -23.7416938, -46.7090936 -23.7416371, -46.7090449 -23.7417606, -46.7090727 -23.7417699), (-46.7091834 -23.741736, -46.7092153 -23.741747, -46.7092038 -23.7417751, -46.7091719 -23.7417642, -46.7091834 -23.741736))",police,50º Batalhão de Polícia Militar Metropolitano PMESP,Polícia Militar do Estado de São Paulo,Q10351025,military,police,PMESP,São Paulo,397,04836-130,Avenida Carlos Oberhuber,,https://www.policiamilitar.sp.gov.br/,Jardim Floresta,,,,+55 11 5925-6685,,,,,,,,,,,+55 11 5925-6685,,,pmsp;local knowledge;aerial imagery,2008,,,,,,yes,,,5.49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,multipolygon,,
"POLYGON ((-46.7202924 -23.5029948, -46.720228 -23.5027476, -46.7203112 -23.502734, -46.7203125 -23.5026984, -46.7203756 -23.5026922, -46.7201835 -23.5025738, -46.7199305 -23.5024177, -46.7197947 -23.5025871, -46.7198901 -23.5028029, -46.7196648 -23.5028976, -46.7192772 -23.5028497, -46.7190707 -23.5029382, -46.7191096 -23.5029754, -46.7191547 -23.5030062, -46.7192048 -23.5030297, -46.7192584 -23.5030452, -46.7193087 -23.503052, -46.7193596 -23.5030518, -46.7194098 -23.5030445, -46.7194583 -23.5030304, -46.719638 -23.5029726, -46.7196739 -23.5029672, -46.7197104 -23.5029677, -46.7197455 -23.5029741, -46.7197788 -23.5029862, -46.7198646 -23.5030391, -46.7198898 -23.5030548, -46.7199183 -23.5030649, -46.7199402 -23.5030684, -46.7199625 -23.5030686, -46.720012 -23.5030587, -46.7200671 -23.5030461, -46.7202924 -23.5029948))",police,Policia Militar 2 CIA do 49 Batalhão,Polícia Militar do Estado de São Paulo,Q10351025,military,police,PMESP,São Paulo,2165,02675-031,Avenida Raimundo Pereira de Magalhães,24/7,,Jardim Iris,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,wall,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,multipolygon,,
"POLYGON ((-46.5848512 -23.5019453, -46.5848909 -23.5019453, -46.585033 -23.5019453, -46.5851233 -23.5019215, -46.5852573 -23.5018375, -46.5852696 -23.5017785, -46.5852477 -23.5017485, -46.585152 -23.5017133, -46.5850193 -23.5015905, -46.5849455 -23.501435, -46.5849359 -23.5013497, -46.5849372 -23.5013399, -46.5849482 -23.5012519, -46.5849838 -23.501193, -46.5850152 -23.5011541, -46.5848101 -23.5007328, -46.5847076 -23.5007804, -46.5847443 -23.500841, -46.5847305 -23.5008656, -46.5847262 -23.5008732, -46.5846113 -23.5011015, -46.5845842 -23.5010907, -46.5845808 -23.5010974, -46.5845025 -23.5010601, -46.5844287 -23.5012419, -46.5843562 -23.5014362, -46.5843083 -23.501529, -46.5842427 -23.5016293, -46.5843357 -23.5017096, -46.5846078 -23.5018964, -46.5848512 -23.5019453))",fire_station,Segundo Grupamento de Bombeiros,PMSP,,,,,São Paulo,,02136-000,Avenida Doutor Benedito Estevam dos Santos,,,Vila Maria Alta,,,,,,,,,,,,2º Grupamento de Bombeiros,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,multipolygon,,
"POLYGON ((-46.6176707 -23.4870004, -46.6176898 -23.4868935, -46.6177159 -23.4867566, -46.6177328 -23.4866683, -46.6175852 -23.4866458, -46.6174765 -23.4866157, -46.6174526 -23.4866086, -46.6174008 -23.4866368, -46.617371 -23.4866529, -46.6173494 -23.4866647, -46.6173275 -23.4872308, -46.6173625 -23.4872312, -46.617488 -23.4872327, -46.6175204 -23.4872331, -46.6175962 -23.487234, -46.6176476 -23.4872346, -46.6176651 -23.4872349, -46.6177079 -23.4872354, -46.6177619 -23.4872363, -46.6178207 -23.4872371, -46.6178893 -23.4872382, -46.6179127 -23.4872386, -46.6179769 -23.4872399, -46.6179961 -23.4872403, -46.6180485 -23.4872414, -46.6180692 -23.4872418, -46.6181212 -23.4872429, -46.6181719 -23.4871901, -46.6181936 -23.4871676, -46.6182392 -23.4871201, -46.618073 -23.4871112, -46.6180395 -23.4871094, -46.6179998 -23.4871088, -46.6178086 -23.4871057, -46.6176871 -23.4871038, -46.6176531 -23.4870994, -46.617655 -23.4870887, -46.6176707 -23.4870004))",police,9º Batalhão da Policia Militar,Polícia Militar do Estado de São Paulo,Q10351025,military,police,PMESP,São Paulo,842,02330-001,Avenida Nova Cantareira,,,Tucuruvi,,,,,,,,,,,,,,,,,,,,,,pt:Polícia Militar do Estado de São Paulo,,Nono  Batalhão da Policia Militar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,multipolygon,,
"POLYGON ((-46.617919 -23.5225794, -46.6179092 -23.5225318, -46.6179069 -23.5225204, -46.6178736 -23.5223657, -46.6178598 -23.5223013, -46.6171125 -23.5224506, -46.6169136 -23.5224845, -46.6169071 -23.5224951, -46.616916 -23.5225265, -46.6169691 -23.522714, -46.6170062 -23.5228464, -46.6170098 -23.5228614, -46.6170132 -23.5228753, -46.6170169 -23.5228908, -46.6170264 -23.5229302, -46.6170292 -23.5229417, -46.6170584 -23.5229334, -46.6179408 -23.5226866, -46.617919 -23.5225794))",police,Batalhão de Trânsito,Polícia Militar do Estado de São Paulo,Q10351025,military,police,PMESP,São Paulo,98,03034-050,Rua Azurita,,,Canindé,,,,,,,,,,,,,,,,,,,,,,pt:Polícia Militar do Estado de São Paulo,,,,,,,,,wall,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,multipolygon,,
"POLYGON ((-46.5579455 -23.5737718, -46.5577956 -23.5734476, -46.557787 -23.573429, -46.5578781 -23.5733948, -46.5579652 -23.573362, -46.5580603 -23.5733264, -46.55815 -23.5732927, -46.5580228 -23.5730231, -46.5579871 -23.5730383, -46.5578505 -23.5730941, -46.5576668 -23.5731692, -46.5574925 -23.5732351, -46.5573031 -23.5733067, -46.5573516 -23.573415, -46.557395 -23.5735101, -46.5575449 -23.5738384, -46.5575476 -23.5738442, -46.5575651 -23.5738827, -46.5575739 -23.5738859, -46.5575885 -23.5738864, -46.5578125 -23.5738145, -46.557872 -23.5737954, -46.5579455 -23.5737718))",police,29º Distrito policial,Polícia Civil do Estado de São Paulo,Q10350993,,,,São Paulo,3259,03345-001,Avenida Sapopemba,,,,,,,,,,,,,,,,,,,,,,,,,pt:Polícia Civil do Estado de São Paulo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,multipolygon,,
"POLYGON ((-46.6703833 -23.5086483, -46.6703519 -23.508209, -46.6702526 -23.5081277, -46.6702393 -23.50804, -46.6702033 -23.5078017, -46.6703156 -23.507697, -46.6703065 -23.5075728, -46.6701127 -23.5076242, -46.6700438 -23.5076425, -46.6692708 -23.507904, -46.669456 -23.5087532, -46.669609 -23.5087359, -46.6703833 -23.5086483))",courthouse,Fórum Criminal e Cível de Santana,,,,,,São Paulo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,wall,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,multipolygon,,
"POLYGON ((-46.5938427 -23.54828, -46.5938063 -23.5482504, -46.5937685 -23.5482197, -46.5936638 -23.5481345, -46.5936047 -23.5482462, -46.5934369 -23.5485637, -46.5937278 -23.5487973, -46.5940828 -23.548477, -46.5940442 -23.5484453, -46.5938427 -23.54828))",police,8º Distrito Policial Belenzinho,Polícia Civil do Estado de São Paulo,Q10350993,,,,São Paulo,206,03170-050,Rua Sapucaia,,,Belenzinho,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,multipolygon,,
"POLYGON ((-46.620854 -23.4780925, -46.6207926 -23.4780507, -46.6205832 -23.4779082, -46.6205435 -23.4779562, -46.620292 -23.4782698, -46.6205064 -23.4784116, -46.6207027 -23.4785415, -46.6207208 -23.4785534, -46.6211686 -23.4784374, -46.6211731 -23.478422, -46.6211011 -23.4782957, -46.6209796 -23.4781857, -46.6209452 -23.4781545, -46.620854 -23.4780925))",police,20º Distrito Policial,Polícia Civil do Estado de São Paulo,Q10350993,,,,São Paulo,34,02338-070,Rua São Zeferino,24/7,,Agua Fria,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,asphalt,multipolygon,,
"POLYGON ((-46.4414253 -23.4971582, -46.4413171 -23.496915, -46.4412817 -23.4968429, -46.4411213 -23.4969107, -46.4413 -23.4973029, -46.4413233 -23.4973047, -46.4414253 -23.4971582))",fire_station,Posto de Bombeiros São Miguel,Corpo de Bombeiros Militar do Estado de São Paulo,Q10260738,,,,São Paulo,,,Avenida Nordestina,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,wall,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,multipolygon,,
"POLYGON ((-46.7251879 -23.4823556, -46.7255775 -23.4821464, -46.7251808 -23.4815894, -46.7247298 -23.4818438, -46.7247158 -23.4818776, -46.7251879 -23.4823556))",police,87º Distrito Policial,Polícia Civil do Estado de São Paulo,Q10350993,,,,São Paulo,286,02945-000,Avenida Menotti Laudisio,,,Jardim Cidade Pirituba,,,,,,,,,,,,,,,,,,,,,,,,87º DP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,multipolygon,,
"POLYGON ((-46.4033096 -23.5462792, -46.4032435 -23.5459888, -46.4029891 -23.5460528, -46.4029502 -23.5460626, -46.4029044 -23.5460741, -46.4026568 -23.5461365, -46.4026951 -23.546271, -46.4027423 -23.5464372, -46.4028743 -23.5464026, -46.4032274 -23.5463025, -46.4033096 -23.5462792))",courthouse,Juizado Especial Cível e CEJUSC Guainases Itaquera,,,,,,São Paulo,696,08460-000,Estrada de Poá,"Mo-Fr 09:00-19:00,PH off",,Jardim Soares,,,,+55 11 2554-2270,,,,,,BR,,,,,+55 11 2554-3007,,,,,,,,,,,,,,+55 11 2554-1019,,wall,,,,,,,outside,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,multipolygon,,
"POLYGON ((-46.6495695 -23.5368965, -46.6490628 -23.5365901, -46.6489291 -23.5365092, -46.6485388 -23.5370762, -46.6487686 -23.5372326, -46.6489054 -23.5370452, -46.6490558 -23.5369321, -46.6491977 -23.5368903, -46.649436 -23.536898, -46.6495695 -23.5368965))",police,77º Distrito Policial,Polícia Civil do Estado de São Paulo,Q10350993,,,,São Paulo,827,01215-001,Alameda Glete,,,Santa Cecília,,,,,,,,,,,,,,,,,,,,,,,,77º DP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,multipolygon,,
"POLYGON ((-46.4757335 -23.5240434, -46.4755213 -23.5239678, -46.4752624 -23.5238785, -46.4752307 -23.5238798, -46.4752108 -23.5238943, -46.4750997 -23.5244667, -46.4755283 -23.5249081, -46.47556 -23.524936, -46.4757335 -23.5240434))",police,64º Distrito Policial,Polícia Civil do Estado de São Paulo,Q10350993,,,,São Paulo,638,03685-000,Rua Sonho Gaúcho,,,,,,,,,,,,,,,,,,,,,,,,,,,64º DP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,multipolygon,,
"POLYGON ((-46.4767782 -23.5168307, -46.476575 -23.5168812, -46.4764475 -23.5169128, -46.4763917 -23.5172536, -46.4767001 -23.5172982, -46.4767782 -23.5168307))",fire_station,Bombeiros - 3ª GB - 1º SGB - PB Águia de Haia,Corpo de Bombeiros Militar do Estado de São Paulo,Q10260738,,,,São Paulo,,,Avenida Águia de Haia,24/7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,multipolygon,,
"POLYGON ((-46.5193537 -23.5230099, -46.5193368 -23.5229883, -46.519202 -23.5229376, -46.5191436 -23.5229157, -46.5185796 -23.522704, -46.5181008 -23.5230188, -46.5183579 -23.5233294, -46.5183911 -23.5233696, -46.5185434 -23.5235536, -46.5193436 -23.5230357, -46.5193537 -23.5230099))",police,Polícia Militar - 2º BPM/M - CPA/M-4,Polícia Militar do Estado de São Paulo,Q10351025,military,police,PMESP,São Paulo,2774,03652-000,Avenida Amador Bueno da Veiga,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,multipolygon,,
"POLYGON ((-46.5185434 -23.5235536, -46.5183911 -23.5233696, -46.5183579 -23.5233294, -46.5181008 -23.5230188, -46.5178324 -23.523178, -46.5182437 -23.5237019, -46.5183869 -23.5236193, -46.5185434 -23.5235536))",fire_station,Corpo de Bombeiros - Estação de Bombeiros Vila Esperança - 3º GB,Corpo de Bombeiros Militar do Estado de São Paulo,Q10260738,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,multipolygon,,
"POLYGON ((-46.6239616 -23.5138285, -46.6239413 -23.5129184, -46.6239379 -23.512763, -46.6239204 -23.5119777, -46.6234659 -23.5119538, -46.6233043 -23.5123701, -46.6231756 -23.5123392, -46.6230894 -23.5125696, -46.6228592 -23.5125108, -46.6220245 -23.5125239, -46.6220325 -23.5128398, -46.6220015 -23.5130736, -46.6219384 -23.5133315, -46.621925 -23.5133549, -46.6219193 -23.5133723, -46.6218511 -23.5134968, -46.6217099 -23.5137032, -46.6216789 -23.5137716, -46.6216639 -23.5138274, -46.6216605 -23.5138632, -46.6216766 -23.5138885, -46.6217322 -23.5139303, -46.622606 -23.5145746, -46.6227111 -23.5147182, -46.6227708 -23.5148045, -46.622795 -23.5148235, -46.6228202 -23.5148277, -46.6228444 -23.5148331, -46.6228509 -23.514774, -46.6228598 -23.5145114, -46.6229144 -23.5144606, -46.6229964 -23.5143917, -46.6231598 -23.5142497, -46.6233498 -23.514413, -46.6235008 -23.5142771, -46.6234945 -23.5142466, -46.6236079 -23.5141483, -46.6236349 -23.5141564, -46.6238238 -23.5139864, -46.6238983 -23.513901, -46.6239616 -23.5138285))",police,CMM,Polícia Militar do Estado de São Paulo,Q10351025,military,police,PMESP,São Paulo,161,02032-030,Rua Coronel Antônio de Carvalho,24/7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,multipolygon,,
"POLYGON ((-46.4711907 -23.6059358, -46.4711425 -23.6058485, -46.4710931 -23.6057212, -46.4710563 -23.6056201, -46.4710141 -23.6054691, -46.4700347 -23.6056348, -46.4701171 -23.6061336, -46.4701479 -23.6061298, -46.4703314 -23.6061017, -46.4705505 -23.6060594, -46.4711907 -23.6059358))",police,49º DP,Polícia Civil do Estado de São Paulo,Q10350993,,,,São Paulo,830,,Avenida Ragueb Chohfi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,multipolygon,,
"POLYGON ((-46.6319707 -23.5313625, -46.6318532 -23.5313885, -46.6318099 -23.5314001, -46.6315944 -23.5314579, -46.6315927 -23.5314495, -46.6314032 -23.5314987, -46.6314055 -23.5315082, -46.6311125 -23.5315842, -46.6310274 -23.5316063, -46.6310003 -23.5316133, -46.63103 -23.5317034, -46.6310517 -23.5317153, -46.6311162 -23.5319369, -46.6310568 -23.531952, -46.6310685 -23.531992, -46.6310533 -23.5319956, -46.6311054 -23.5321715, -46.6311238 -23.5321672, -46.631133 -23.5322036, -46.6311957 -23.5321882, -46.6312646 -23.5324126, -46.6312507 -23.5324271, -46.6312812 -23.532523, -46.6316827 -23.532414, -46.6316857 -23.5324237, -46.6318741 -23.5323742, -46.6318706 -23.5323639, -46.6321331 -23.5322971, -46.632214 -23.5322754, -46.6322168 -23.5322863, -46.6322552 -23.5322757, -46.6322334 -23.5321906, -46.6322198 -23.5321813, -46.6322068 -23.5321843, -46.632119 -23.5319047, -46.632133 -23.5319017, -46.6321429 -23.5318996, -46.6320883 -23.5317246, -46.6320784 -23.5317264, -46.6319954 -23.5314486, -46.6319707 -23.5313625), (-46.632055 -23.532015, -46.632103 -23.5321679, -46.6321008 -23.5321769, -46.6320965 -23.5321836, -46.6320885 -23.5321884, -46.6317958 -23.5322635, -46.6315469 -23.5323268, -46.6313894 -23.5323685, -46.631369 -23.532361, -46.6313441 -23.5322726, -46.6314358 -23.5322492, -46.6314079 -23.5321552, -46.6313169 -23.532178, -46.631306 -23.5321463, -46.6312788 -23.5321535, -46.6312706 -23.5321264, -46.6312973 -23.5321185, -46.6312433 -23.531946, -46.631216 -23.5319523, -46.631132 -23.5316727, -46.6314435 -23.5315901, -46.6314837 -23.5315798, -46.6314848 -23.5315822, -46.6314919 -23.5316079, -46.6318832 -23.5315068, -46.6318882 -23.5315073, -46.6318977 -23.5315122, -46.6319039 -23.5315182, -46.6319749 -23.5317541, -46.6320263 -23.5319304, -46.6320283 -23.5319298, -46.632055 -23.532015))",police,ROTA - Rondas Ostensivas Tobias de Aguiar,Polícia Militar do Estado de São Paulo,Q10351025,,,PMESP,São Paulo,440,01101-010,Avenida Tiradentes,24/7,https://www.policiamilitar.sp.gov.br/,Luz,,,,,,,,,,,,,,,,,,pmsp,,,,,,,government;yes,1,,7.504;14.664;13.804;6.394,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,multipolygon,"1° Batalhão de Choque ""Tobias de Aguiar""",
"POLYGON ((-46.6378958 -23.6015956, -46.637816 -23.6015963, -46.6376326 -23.6015979, -46.6375265 -23.6015989, -46.6373945 -23.6016001, -46.6373941 -23.6016349, -46.6373981 -23.6018927, -46.6373983 -23.6019051, -46.6373997 -23.6020664, -46.6374009 -23.6021936, -46.6375647 -23.6021924, -46.6378957 -23.6021851, -46.6378958 -23.6015956))",police,16° Distrito Policial e 2° Delegacia de Defesa da Mulher,Polícia Civil do Estado de São Paulo,Q10350993,,,,São Paulo,89,,Avenida Onze de Junho,,,,,,,,,,,,,,,16° DP e 2° D.D.M.,,,,,,,,,,,,Segunda Delegacia de Defesa da Mulher,,,,,+55 11 5573-0363,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,multipolygon,,Delegacia de Defesa da Mulher
"POLYGON ((-46.4190726 -23.5429268, -46.4188879 -23.5421544, -46.4187491 -23.542182, -46.4184745 -23.5422365, -46.4186693 -23.5429808, -46.4190726 -23.5429268))",police,44º Distrito Policial,Polícia Civil do Estado de São Paulo,Q10350993,,,,São Paulo,386,08410-000,Rua Salvador Gianetti,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,multipolygon,,
"POLYGON ((-46.7361641 -23.4751811, -46.7361349 -23.4751738, -46.7360374 -23.475098, -46.73599 -23.4750637, -46.7358667 -23.474934, -46.7357609 -23.4748003, -46.735544 -23.4744442, -46.735544 -23.474317, -46.7357601 -23.473965, -46.7359471 -23.473471, -46.7360154 -23.4731933, -46.7360122 -23.4725524, -46.7358957 -23.4722203, -46.7354363 -23.4713142, -46.7351458 -23.4707823, -46.7350602 -23.4704981, -46.735086 -23.4702911, -46.7352763 -23.4700278, -46.7355988 -23.4696284, -46.7357117 -23.4696166, -46.7357697 -23.4697053, -46.7358987 -23.4698385, -46.7360567 -23.4699272, -46.7361567 -23.4699331, -46.7363244 -23.4698592, -46.7364018 -23.4696314, -46.7363567 -23.4688386, -46.7364179 -23.4681848, -46.7366308 -23.4675133, -46.7367727 -23.4669809, -46.736863 -23.4665223, -46.7368662 -23.4660668, -46.7367566 -23.4654899, -46.7367533 -23.4653509, -46.7368307 -23.4652266, -46.7369565 -23.4651408, -46.7370952 -23.4650757, -46.737508 -23.4650077, -46.7378111 -23.4649308, -46.7380691 -23.4648065, -46.7383658 -23.464558, -46.7386077 -23.464422, -46.7388367 -23.4643746, -46.74164 -23.4667407, -46.7434226 -23.4681158, -46.7448965 -23.4691327, -46.7441516 -23.469764, -46.7439831 -23.4699069, -46.7430194 -23.4704269, -46.7423707 -23.4706811, -46.7413566 -23.4711779, -46.7404873 -23.4717268, -46.7387111 -23.4730094, -46.7377789 -23.4736854, -46.7368593 -23.4743614, -46.7361641 -23.4751811))",police,Escola Superior de Soldados da Polícia Militar de São Paulo,Polícia Militar do Estado de São Paulo,Q10351025,military,police,PMESP,,,,,,,,,,,,academy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"POLYGON ((-46.5335574 -23.5792232, -46.5330141 -23.579591, -46.5335163 -23.5802423, -46.534073 -23.5798743, -46.5335574 -23.5792232))",police,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
